Make,Model,Cylinder,Trans as listed in FE Guide (derived from col AA thru AF),CityMPG,HighwayMPG,CombinedMPG,Air Aspir Method,Air Aspiration Method Desc,Transmission,Drive,Drive Desc,Fuel,Fuel Usage Desc - Conventional Fuel,Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Carline Class,Carline Class Desc,Release Date,CityCO2,HighwayCO2,CombinedCO2
Acura,ILX,4,Auto(S5),24,35,28,NA,Naturally Aspirated,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2050,2050,4,Compact Cars,6/20/2014,367,255,316
Acura,ILX,4,Manual(M6),22,31,25,NA,Naturally Aspirated,Manual,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2300,2300,4,Compact Cars,6/20/2014,403,284,350
Acura,RLX,6,Auto(S6),20,31,24,NA,Naturally Aspirated,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2400,2400,5,Midsize Cars,6/3/2014,451,290,378
Acura,MDX 2WD,6,Auto(S6),20,28,23,NA,Naturally Aspirated,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2500,2500,30,Small SUV 2WD,6/3/2014,448,313,387
Acura,RDX 2WD,6,Auto(S6),20,28,23,NA,Naturally Aspirated,Semi-Automatic,F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2500,2500,30,Small SUV 2WD,4/1/2014,443,315,385
Acura,MDX 4WD,6,Auto(S6),18,27,21,NA,Naturally Aspirated,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2700,2700,31,Small SUV 4WD,6/3/2014,485,331,416
Acura,RDX 4WD,6,Auto(S6),19,27,22,NA,Naturally Aspirated,Semi-Automatic,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2600,2600,31,Small SUV 4WD,4/1/2014,456,329,399
Aston Martin,V8 Vantage,8,Auto(AM7),14,21,16,NA,Naturally Aspirated,Automated Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,5/19/2014,654,426,551
Aston Martin,V8 Vantage,8,Manual(M6),13,19,15,NA,Naturally Aspirated,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,1,Two Seaters,5/19/2014,680,461,581
Aston Martin,V8 Vantage S,8,Auto(AM7),14,21,16,NA,Naturally Aspirated,Automated Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,5/19/2014,654,426,551
Aston Martin,V8 Vantage S,8,Manual(M6),13,19,15,NA,Naturally Aspirated,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,1,Two Seaters,5/19/2014,680,461,581
Aston Martin,Vantage GT,8,Auto(AM7),14,21,16,NA,Naturally Aspirated,Automated Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,5/19/2014,654,426,551
Aston Martin,Vantage GT,8,Manual(M6),13,19,15,NA,Naturally Aspirated,Manual,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,1,Two Seaters,5/19/2014,680,461,581
Aston Martin,DB9,12,Auto(S6),13,19,15,NA,Naturally Aspirated,Semi-Automatic,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),3800,3800,2,Minicompact Cars,6/3/2014,679,478,588
Audi,R8,8,Auto(AM-S7),14,23,17,NA,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3350,3350,1,Two Seaters,6/9/2014,656,394,538
Audi,R8,8,Manual(M6),11,20,14,NA,Naturally Aspirated,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),4050,4050,1,Two Seaters,6/9/2014,772,439,622
Audi,R8,10,Auto(AM-S7),13,22,16,NA,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,6/9/2014,686,400,557
Audi,R8,10,Manual(M6),12,19,14,NA,Naturally Aspirated,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),4050,4050,1,Two Seaters,6/9/2014,753,454,618
Audi,R8 Spyder,8,Auto(AM-S7),14,23,17,NA,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3350,3350,1,Two Seaters,6/9/2014,656,394,538
Audi,R8 Spyder,8,Manual(M6),11,20,14,NA,Naturally Aspirated,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),4050,4050,1,Two Seaters,6/9/2014,772,439,622
Audi,R8 Spyder,10,Auto(AM-S7),13,22,16,NA,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),3550,3550,1,Two Seaters,6/9/2014,686,400,557
Audi,R8 Spyder,10,Manual(M6),12,19,14,NA,Naturally Aspirated,Manual,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),4050,4050,1,Two Seaters,6/9/2014,753,454,618
Audi,TT Roadster quattro,4,Auto(AM-S6),22,31,26,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,1,Two Seaters,1/15/2014,395,284,345
Audi,A3,4,Auto(AM-S6),23,33,27,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2100,2100,3,Subcompact Cars,2/25/2014,379,267,328
Audi,A3 Cabriolet,4,Auto(AM-S6),24,35,28,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),F,"2-Wheel Drive, Front",GP,Gasoline (Premium Unleaded Recommended),2050,2050,3,Subcompact Cars,6/2/2014,362,256,314
Audi,A3 Cabriolet quattro,4,Auto(AM-S6),23,32,26,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2200,2200,3,Subcompact Cars,6/2/2014,379,280,334
Audi,A3 quattro,4,Auto(AM-S6),24,33,27,TC,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2100,2100,3,Subcompact Cars,1/15/2014,366,271,323
